name,year,paper title,co-authors,gender,Morrocan affiliation 
Youssef Allouah,2023,"Robust Distributed Learning: Tight Error Bounds and Breakdown Point under
 Data Heterogeneity ","Rachid Guerraoui, Nirupam Gupta, Rafael Pinot, Geovani Rizk",male,no
Achraf Azize,2023,On the Complexity of Differentially Private Best-Arm Identification with Fixed Confidence," Marc Jourdan, Aymen Al Marjani, Debabrota Basu
",male,no
Achraf Azize,2022,When Privacy Meets Partial Information: A Refined Analysis of Differentially Private Bandits,Debabrota Basu,male,no
Amine Ouasfi,2023,Robustifying Generalizable Implicit Shape Networks with a Tunable Non-Parametric Model,Adnane Boukhayma,male,no
El Mehdi Saad,2023,Covariance-adaptive best arm identification,"Gilles Blanchard, Nicolas Verzelen
",male,no
Abdellah Aznag,2023,An active learning framework for multi-group mean estimation,"Rachel Cummings, Adam N. Elmachtoub",male,no
Adnane Boukhayma,2023,Robustifying Generalizable Implicit Shape Networks with a Tunable Non-Parametric Model,Amine Ouasfi,male,no
Ismail Nejjar,2023,SimMMDG: A Simple and Effective Framework for Multi-modal Domain Generalization,"Hao Dong, Han Sun, Eleni Chatzi, Olga Fink",male,no
Yassir Jedra,2023,Spectral Entry-wise Matrix Estimation for Low-Rank Reinforcement Learning,"Stefan Stojanovic, Alexandre Proutiere
",male,no
Ziyad Benomar,2023,Advice Querying under Budget Constraint for Online Algorithms,Vianney Perchet,male,no
Souhaib Attaiki,2023,"Shape Non-rigid Kinematics (SNK): A Zero-Shot Method for Non-Rigid Shape Matching via
 Unsupervised Functional Map Regularized Reconstruction",Maks Ovsjanikov,male,no
Mohamed NADIF,2022,Efficient and Effective Optimal Transport-Based Biclustering,"lazhar labiod, Chakib Fettal",male,no
El Mehdi Achour,2022,"A general approximation lower bound in Lp norm, with applications to feed-forward 
neural networks"," Armand Foucault, Sébastien Gerchinovitz, François Malgouyres
",male,no
Ahmed El Alaoui,2022,The Franz-Parisi Criterion and Computational Trade-offs in High Dimensional Statistics ," Afonso S Bandeira, Samuel Hopkins, Tselil Schramm, Alexander S Wein,
 Ilias Zadik
",male,no
Amine Aboussalah,2022,A Deep Reinforcement Learning Framework for Column Generation,"Cheng Chi, Elias Khalil, Juyoung Wang, Zoha Sherkat-Masoumi
",male,no
Omar Mouchtaki,2022,Beyond IID: data-driven decision-making in heterogeneous environments ,"Omar Besbes, Will Ma",male,no
Badr MOUFAD,2022,"Benchopt: Reproducible, efficient and collaborative optimization benchmarks ","Thomas Moreau, Mathurin Massias, Alexandre Gramfort, Pierre Ablin, 
Pierre-Antoine Bannier, Benjamin Charlier, Mathieu Dagréou, 
Tom Dupre la Tour, Ghislain DURIF, Cassio F. Dantas, Quentin Klopfenstein
, Johan Larsson, En Lai, Tanguy Lefort, Benoît Malézieux,, Binh T. Nguyen,
 Alain Rakotomamonjy, Zaccharie Ramzi, Joseph Salmon, Samuel Vaiter",male,no
Rida Laraki,2022,An alpha-No-Regret Algorithm For Graphical Bilinear Bandits ,"Geovani Rizk, Igor Colin, Albert Thomas, Yann Chevaleyre
",male,no
Rida Laraki,2022,Smooth Fictitious Play in Stochastic Games with Perturbed Payoffs and Unknown Transitions,Lucas Baudin,male,no
Othmane Marfoq,2021,Federated Multi-Task Learning under a Mixture of Distributions," Giovanni Neglia, Aurélien Bellet, Laetitia Kameni, Richard Vidal",male,no
Othman Sbai,2021,Re-ranking for image retrieval and transductive few-shot classification,"Xi SHEN, Yang Xiao, Shell Xu Hu, Mathieu Aubry
",male,no
Reda Ouhamma,2021,Online Sign Identification: Minimization of the Number of Errors in Thresholding Bandits ,"Odalric-Ambrym Maillard, Vianney Perchet
",male,no
Reda Ouhamma,2021,Stochastic Online Linear Regression: the Forward Algorithm to Replace Ridge," Odalric-Ambrym Maillard, Vianney Perchet",male,no
Aadil Oufkir,2021,Sequential Algorithms for Testing Closeness of Distributions ,"Omar Fawzi, Nicolas Flammarion, Aurélien Garivier",male,no
Soufiane Hayou,2021,Regularization in ResNet with Stochastic Depth," Fadhel Ayed
",male,no
Shahine Bouabid,2021,Deconditional Downscaling with Gaussian Processes ,"Siu Lun Chau, Dino Sejdinovic
",male,no
Madiha Nadri,2021,Supervising the Transfer of Reasoning Patterns in VQA ,"Corentin Kervadec, Christian Wolf, Grigory Antipov,,Moez Baccouche",female,no
El Mehdi Saad,2021,Fast rates for prediction with limited expert advice ,"Gilles Blanchard
",male,no
"Ayoub Belhadji
",2021,An analysis of Ermakov-Zolotukhin quadrature using kernels,,male,no
Othmane Marfoq,2020,Throughput-Optimal Topology Design for Cross-Silo Federated Learning," CHUAN XU, Giovanni Neglia, Richard Vidal
",male,no
Hicham Janati,2020,Entropic Optimal Transport between Unbalanced Gaussian Measures has a Closed Form ,"Boris Muzellec, Gabriel Peyré, Marco Cuturi
",male,no
Ayman Boustati,2020,VarGrad: A Low-Variance Gradient Estimator for Variational Inference ,"Lorenz Richter, Nikolas Nüsken, Francisco Ruiz, Omer Deniz Akyildiz
",male,no
Ayman Boustati,2020,Generalised Bayesian Filtering via Sequential Monte Carlo,"Omer Deniz Akyildiz, Theodoros Damoulas, Adam Johansen",male,no
Yassir Jedra,2020,Optimal Best-arm Identification in Linear Bandits ,"Alexandre Proutiere
",male,no
Achraf Bahamou,2020,Practical Quasi-Newton Methods for Training Deep Neural Networks ,Donald Goldfarb,male,no
Othmane Sebbouh,2019,Towards closing the gap between the theory and practice of SVRG ,"Nidham Gazagnadou, Samy Jelassi, Francis Bach, Robert Gower
",male,no
Othman El Balghiti,2019,Generalization Bounds in the Predict-then-Optimize Framework,"Adam N. Elmachtoub, Paul Grigas, Ambuj Tewari",male,no
Mohamed Belghazi,2019,Learning about an exponential amount of conditional distributions ,"Maxime Oquab, David Lopez-Paz",male,no
"Ayoub Belhadji
",2019,Kernel quadrature with DPPs,"Rémi Bardenet, Pierre Chainais
",male,no
Youssef Alami Mejjati,2018,Unsupervised Attention-guided Image-to-Image Translation ," Christian Richardt, James Tompkin, Darren Cosker, Kwang In Kim
",male,no
Omar El Housni,2017,Beyond Worst-case: A Probabilistic Analysis of Affine Policies in Dynamic Optimization, Vineet Goyal,male,no
Ahmed Alaoui,2015,Fast Randomized Kernel Ridge Regression with Statistical Guarantees ," Michael W. Mahoney
",male,no
Karim Filali,2006,Multi-dynamic Bayesian Networks," Jeff A. Bilmes
",male,no
Yoshua Bengio,2023, Let the Flows Tell: Solving Graph Combinatorial Problems with GFlowNets ,"Dinghuai Zhang, Hanjun Dai, Nikolay Malkin, Aaron C. Courville, , Ling Pan",male,no
Yoshua Bengio,2023,Contrastive Retrospection: honing in on critical steps for rapid learning and generalization in RL,"Chen Sun, Wannan Yang, Thomas Jiralerspong, Dane Malenfant, 
Benjamin Alsbury-Nealy, , Blake Richards",male,no
Yoshua Bengio,2023," Joint Bayesian Inference of Graphical Structure and Parameters with a Single Generative Flow
 Network ","Tristan Deleu, Mizu Nishikawa-Toomey, Jithendaraa Subramanian, Nikolay 
Malkin, Laurent Charlin, ",male,no
Yoshua Bengio,2023,DynGFN: Towards Bayesian Inference of Gene Regulatory Networks with GFlowNets ,"Lazar Atanackovic, Alexander Tong, Bo Wang, Leo J Lee, Yoshua Bengio, 
Jason S. Hartford",male,no
Yoshua Bengio,2023, HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution,"Eric Nguyen, Michael Poli, Marjan Faizi, Armin Thomas, Michael Wornow, 
Callum Birch-Sykes, Stefano Massaroli, Aman Patel, Clayton Rabideau, 
Stefano Ermon, Christopher Ré, Stephen Baccus",male,no
